,Year,State,Office,Winning Candidate,Winning Party,Winning Percentage,Losing Candidate,Losing Party,Losing Percentage,Indicator,Term,President,Cycle Duration,Overall Growth (%),Average Growth (%)
774,2008,NEW YORK,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.16,"MCCAIN, JOHN",REPUBLICAN,31.32,Real GDP,Obama 2,Barack Obama,2013-2017,8.19,1.99
780,2008,NEW YORK,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.16,"MCCAIN, JOHN",REPUBLICAN,31.32,Real GDP,Trump,Donald Trump,2017-2021,6.86,1.71
786,2008,NEW YORK,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.16,"MCCAIN, JOHN",REPUBLICAN,31.32,Real GDP,Biden,Joe Biden,2021-2023,3.17,1.57
792,2008,NORTH CAROLINA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,49.7,"MCCAIN, JOHN",REPUBLICAN,49.37,Real GDP,Obama 1,Barack Obama,2009-2013,5.03,1.24
798,2008,NORTH CAROLINA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,49.7,"MCCAIN, JOHN",REPUBLICAN,49.37,Real GDP,Obama 2,Barack Obama,2013-2017,9.92,2.39
804,2008,NORTH CAROLINA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,49.7,"MCCAIN, JOHN",REPUBLICAN,49.37,Real GDP,Trump,Donald Trump,2017-2021,9.77,2.39
810,2008,NORTH CAROLINA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,49.7,"MCCAIN, JOHN",REPUBLICAN,49.37,Real GDP,Biden,Joe Biden,2021-2023,6.31,3.1
816,2008,NORTH DAKOTA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.25,"OBAMA, BARACK H.",DEMOCRAT,44.62,Real GDP,Obama 1,Barack Obama,2009-2013,52.04,11.3
822,2008,NORTH DAKOTA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.25,"OBAMA, BARACK H.",DEMOCRAT,44.62,Real GDP,Obama 2,Barack Obama,2013-2017,3.36,1.03
828,2008,NORTH DAKOTA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.25,"OBAMA, BARACK H.",DEMOCRAT,44.62,Real GDP,Trump,Donald Trump,2017-2021,-0.2,0.02
834,2008,NORTH DAKOTA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.25,"OBAMA, BARACK H.",DEMOCRAT,44.62,Real GDP,Biden,Joe Biden,2021-2023,6.96,3.51
840,2008,OHIO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.5,"MCCAIN, JOHN",REPUBLICAN,46.91,Real GDP,Obama 1,Barack Obama,2009-2013,9.45,2.29
846,2008,OHIO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.5,"MCCAIN, JOHN",REPUBLICAN,46.91,Real GDP,Obama 2,Barack Obama,2013-2017,8.15,1.98
852,2008,OHIO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.5,"MCCAIN, JOHN",REPUBLICAN,46.91,Real GDP,Trump,Donald Trump,2017-2021,5.87,1.48
858,2008,OHIO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.5,"MCCAIN, JOHN",REPUBLICAN,46.91,Real GDP,Biden,Joe Biden,2021-2023,2.8,1.39
864,2008,OKLAHOMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,65.65,"OBAMA, BARACK H.",DEMOCRAT,34.35,Real GDP,Obama 1,Barack Obama,2009-2013,12.26,2.95
870,2008,OKLAHOMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,65.65,"OBAMA, BARACK H.",DEMOCRAT,34.35,Real GDP,Obama 2,Barack Obama,2013-2017,9.34,2.3
876,2008,OKLAHOMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,65.65,"OBAMA, BARACK H.",DEMOCRAT,34.35,Real GDP,Trump,Donald Trump,2017-2021,0.83,0.24
882,2008,OKLAHOMA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,65.65,"OBAMA, BARACK H.",DEMOCRAT,34.35,Real GDP,Biden,Joe Biden,2021-2023,7.1,3.56
888,2008,OREGON,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.75,"MCCAIN, JOHN",REPUBLICAN,40.4,Real GDP,Obama 1,Barack Obama,2009-2013,7.15,1.75
894,2008,OREGON,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.75,"MCCAIN, JOHN",REPUBLICAN,40.4,Real GDP,Obama 2,Barack Obama,2013-2017,18.95,4.44
900,2008,OREGON,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.75,"MCCAIN, JOHN",REPUBLICAN,40.4,Real GDP,Trump,Donald Trump,2017-2021,10.99,2.67
906,2008,OREGON,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.75,"MCCAIN, JOHN",REPUBLICAN,40.4,Real GDP,Biden,Joe Biden,2021-2023,4.64,2.3
912,2008,PENNSYLVANIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.49,"MCCAIN, JOHN",REPUBLICAN,44.17,Real GDP,Obama 1,Barack Obama,2009-2013,9.14,2.21
918,2008,PENNSYLVANIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.49,"MCCAIN, JOHN",REPUBLICAN,44.17,Real GDP,Obama 2,Barack Obama,2013-2017,7.12,1.73
924,2008,PENNSYLVANIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.49,"MCCAIN, JOHN",REPUBLICAN,44.17,Real GDP,Trump,Donald Trump,2017-2021,1.48,0.42
930,2008,PENNSYLVANIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,54.49,"MCCAIN, JOHN",REPUBLICAN,44.17,Real GDP,Biden,Joe Biden,2021-2023,4.4,2.18
936,2008,RHODE ISLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,62.86,"MCCAIN, JOHN",REPUBLICAN,35.06,Real GDP,Obama 1,Barack Obama,2009-2013,4.69,1.16
942,2008,RHODE ISLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,62.86,"MCCAIN, JOHN",REPUBLICAN,35.06,Real GDP,Obama 2,Barack Obama,2013-2017,3.04,0.75
948,2008,RHODE ISLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,62.86,"MCCAIN, JOHN",REPUBLICAN,35.06,Real GDP,Trump,Donald Trump,2017-2021,3.46,0.89
954,2008,RHODE ISLAND,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,62.86,"MCCAIN, JOHN",REPUBLICAN,35.06,Real GDP,Biden,Joe Biden,2021-2023,4.07,2.01
960,2008,SOUTH CAROLINA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.87,"OBAMA, BARACK H.",DEMOCRAT,44.9,Real GDP,Obama 1,Barack Obama,2009-2013,8.73,2.12
966,2008,SOUTH CAROLINA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.87,"OBAMA, BARACK H.",DEMOCRAT,44.9,Real GDP,Obama 2,Barack Obama,2013-2017,12.39,2.96
972,2008,SOUTH CAROLINA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.87,"OBAMA, BARACK H.",DEMOCRAT,44.9,Real GDP,Trump,Donald Trump,2017-2021,9.25,2.27
978,2008,SOUTH CAROLINA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.87,"OBAMA, BARACK H.",DEMOCRAT,44.9,Real GDP,Biden,Joe Biden,2021-2023,6.73,3.31
984,2008,SOUTH DAKOTA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.16,"OBAMA, BARACK H.",DEMOCRAT,44.75,Real GDP,Obama 1,Barack Obama,2009-2013,9.84,2.4
990,2008,SOUTH DAKOTA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.16,"OBAMA, BARACK H.",DEMOCRAT,44.75,Real GDP,Obama 2,Barack Obama,2013-2017,6.18,1.51
996,2008,SOUTH DAKOTA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.16,"OBAMA, BARACK H.",DEMOCRAT,44.75,Real GDP,Trump,Donald Trump,2017-2021,7.56,1.86
1002,2008,SOUTH DAKOTA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,53.16,"OBAMA, BARACK H.",DEMOCRAT,44.75,Real GDP,Biden,Joe Biden,2021-2023,3.17,1.59
1008,2008,TENNESSEE,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,56.9,"OBAMA, BARACK H.",DEMOCRAT,41.83,Real GDP,Obama 1,Barack Obama,2009-2013,10.8,2.6
1014,2008,TENNESSEE,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,56.9,"OBAMA, BARACK H.",DEMOCRAT,41.83,Real GDP,Obama 2,Barack Obama,2013-2017,11.64,2.79
1020,2008,TENNESSEE,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,56.9,"OBAMA, BARACK H.",DEMOCRAT,41.83,Real GDP,Trump,Donald Trump,2017-2021,12.61,3.07
1026,2008,TENNESSEE,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,56.9,"OBAMA, BARACK H.",DEMOCRAT,41.83,Real GDP,Biden,Joe Biden,2021-2023,5.46,2.7
1032,2008,TEXAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,55.45,"OBAMA, BARACK H.",DEMOCRAT,43.68,Real GDP,Obama 1,Barack Obama,2009-2013,17.6,4.14
1038,2008,TEXAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,55.45,"OBAMA, BARACK H.",DEMOCRAT,43.68,Real GDP,Obama 2,Barack Obama,2013-2017,10.29,2.49
1044,2008,TEXAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,55.45,"OBAMA, BARACK H.",DEMOCRAT,43.68,Real GDP,Trump,Donald Trump,2017-2021,12.7,3.08
1050,2008,TEXAS,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,55.45,"OBAMA, BARACK H.",DEMOCRAT,43.68,Real GDP,Biden,Joe Biden,2021-2023,11.6,5.66
1056,2008,UTAH,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,62.58,"OBAMA, BARACK H.",DEMOCRAT,34.41,Real GDP,Obama 1,Barack Obama,2009-2013,10.74,2.59
1062,2008,UTAH,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,62.58,"OBAMA, BARACK H.",DEMOCRAT,34.41,Real GDP,Obama 2,Barack Obama,2013-2017,18.65,4.37
1068,2008,UTAH,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,62.58,"OBAMA, BARACK H.",DEMOCRAT,34.41,Real GDP,Trump,Donald Trump,2017-2021,22.3,5.19
1074,2008,UTAH,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,62.58,"OBAMA, BARACK H.",DEMOCRAT,34.41,Real GDP,Biden,Joe Biden,2021-2023,7.13,3.51
1080,2008,VERMONT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,67.46,"MCCAIN, JOHN",REPUBLICAN,30.45,Real GDP,Obama 1,Barack Obama,2009-2013,6.52,1.61
1086,2008,VERMONT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,67.46,"MCCAIN, JOHN",REPUBLICAN,30.45,Real GDP,Obama 2,Barack Obama,2013-2017,3.48,0.86
1092,2008,VERMONT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,67.46,"MCCAIN, JOHN",REPUBLICAN,30.45,Real GDP,Trump,Donald Trump,2017-2021,3.48,0.9
1098,2008,VERMONT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,67.46,"MCCAIN, JOHN",REPUBLICAN,30.45,Real GDP,Biden,Joe Biden,2021-2023,4.49,2.22
1104,2008,VIRGINIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.63,"MCCAIN, JOHN",REPUBLICAN,46.33,Real GDP,Obama 1,Barack Obama,2009-2013,6.23,1.53
1110,2008,VIRGINIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.63,"MCCAIN, JOHN",REPUBLICAN,46.33,Real GDP,Obama 2,Barack Obama,2013-2017,5.41,1.33
1116,2008,VIRGINIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.63,"MCCAIN, JOHN",REPUBLICAN,46.33,Real GDP,Trump,Donald Trump,2017-2021,9.76,2.39
1122,2008,VIRGINIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,52.63,"MCCAIN, JOHN",REPUBLICAN,46.33,Real GDP,Biden,Joe Biden,2021-2023,5.68,2.8
1128,2008,WASHINGTON,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.65,"MCCAIN, JOHN",REPUBLICAN,40.48,Real GDP,Obama 1,Barack Obama,2009-2013,12.45,2.98
1134,2008,WASHINGTON,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.65,"MCCAIN, JOHN",REPUBLICAN,40.48,Real GDP,Obama 2,Barack Obama,2013-2017,19.96,4.66
1140,2008,WASHINGTON,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.65,"MCCAIN, JOHN",REPUBLICAN,40.48,Real GDP,Trump,Donald Trump,2017-2021,19.52,4.59
1146,2008,WASHINGTON,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.65,"MCCAIN, JOHN",REPUBLICAN,40.48,Real GDP,Biden,Joe Biden,2021-2023,7.49,3.69
1152,2008,WEST VIRGINIA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,55.71,"OBAMA, BARACK H.",DEMOCRAT,42.59,Real GDP,Obama 1,Barack Obama,2009-2013,4.32,1.07
1158,2008,WEST VIRGINIA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,55.71,"OBAMA, BARACK H.",DEMOCRAT,42.59,Real GDP,Obama 2,Barack Obama,2013-2017,1.65,0.42
1164,2008,WEST VIRGINIA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,55.71,"OBAMA, BARACK H.",DEMOCRAT,42.59,Real GDP,Trump,Donald Trump,2017-2021,0.79,0.23
1170,2008,WEST VIRGINIA,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,55.71,"OBAMA, BARACK H.",DEMOCRAT,42.59,Real GDP,Biden,Joe Biden,2021-2023,6.64,3.28
1176,2008,WISCONSIN,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.22,"MCCAIN, JOHN",REPUBLICAN,42.31,Real GDP,Obama 1,Barack Obama,2009-2013,8.75,2.13
1182,2008,WISCONSIN,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.22,"MCCAIN, JOHN",REPUBLICAN,42.31,Real GDP,Obama 2,Barack Obama,2013-2017,6.74,1.65
1188,2008,WISCONSIN,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.22,"MCCAIN, JOHN",REPUBLICAN,42.31,Real GDP,Trump,Donald Trump,2017-2021,3.92,1.0
1194,2008,WISCONSIN,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,56.22,"MCCAIN, JOHN",REPUBLICAN,42.31,Real GDP,Biden,Joe Biden,2021-2023,3.01,1.49
1200,2008,WYOMING,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,64.71,"OBAMA, BARACK H.",DEMOCRAT,32.51,Real GDP,Obama 1,Barack Obama,2009-2013,-5.4,-1.36
1206,2008,WYOMING,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,64.71,"OBAMA, BARACK H.",DEMOCRAT,32.51,Real GDP,Obama 2,Barack Obama,2013-2017,-2.05,-0.47
1212,2008,WYOMING,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,64.71,"OBAMA, BARACK H.",DEMOCRAT,32.51,Real GDP,Trump,Donald Trump,2017-2021,-1.3,-0.26
1218,2008,WYOMING,US PRESIDENT,"MCCAIN, JOHN",REPUBLICAN,64.71,"OBAMA, BARACK H.",DEMOCRAT,32.51,Real GDP,Biden,Joe Biden,2021-2023,8.29,4.09
1224,2012,ALABAMA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.55,"OBAMA, BARACK H.",DEMOCRAT,38.36,Real GDP,Obama 1,Barack Obama,2009-2013,6.58,1.61
1230,2012,ALABAMA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.55,"OBAMA, BARACK H.",DEMOCRAT,38.36,Real GDP,Obama 2,Barack Obama,2013-2017,4.66,1.15
1236,2012,ALABAMA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.55,"OBAMA, BARACK H.",DEMOCRAT,38.36,Real GDP,Trump,Donald Trump,2017-2021,7.9,1.94
1242,2012,ALABAMA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.55,"OBAMA, BARACK H.",DEMOCRAT,38.36,Real GDP,Biden,Joe Biden,2021-2023,4.98,2.46
1248,2012,ALASKA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.8,"OBAMA, BARACK H.",DEMOCRAT,40.81,Real GDP,Obama 1,Barack Obama,2009-2013,-0.59,-0.08
1254,2012,ALASKA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.8,"OBAMA, BARACK H.",DEMOCRAT,40.81,Real GDP,Obama 2,Barack Obama,2013-2017,-1.97,-0.49
1260,2012,ALASKA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.8,"OBAMA, BARACK H.",DEMOCRAT,40.81,Real GDP,Trump,Donald Trump,2017-2021,-3.92,-0.97
1266,2012,ALASKA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,54.8,"OBAMA, BARACK H.",DEMOCRAT,40.81,Real GDP,Biden,Joe Biden,2021-2023,5.06,2.58
1272,2012,ARIZONA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.65,"OBAMA, BARACK H.",DEMOCRAT,44.59,Real GDP,Obama 1,Barack Obama,2009-2013,7.73,1.88
1278,2012,ARIZONA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.65,"OBAMA, BARACK H.",DEMOCRAT,44.59,Real GDP,Obama 2,Barack Obama,2013-2017,11.46,2.76
1284,2012,ARIZONA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.65,"OBAMA, BARACK H.",DEMOCRAT,44.59,Real GDP,Trump,Donald Trump,2017-2021,18.59,4.38
1290,2012,ARIZONA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.65,"OBAMA, BARACK H.",DEMOCRAT,44.59,Real GDP,Biden,Joe Biden,2021-2023,6.93,3.41
1296,2012,ARKANSAS,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.57,"OBAMA, BARACK H.",DEMOCRAT,36.88,Real GDP,Obama 1,Barack Obama,2009-2013,9.11,2.21
1302,2012,ARKANSAS,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.57,"OBAMA, BARACK H.",DEMOCRAT,36.88,Real GDP,Obama 2,Barack Obama,2013-2017,3.37,0.83
1308,2012,ARKANSAS,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.57,"OBAMA, BARACK H.",DEMOCRAT,36.88,Real GDP,Trump,Donald Trump,2017-2021,10.96,2.67
1314,2012,ARKANSAS,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,60.57,"OBAMA, BARACK H.",DEMOCRAT,36.88,Real GDP,Biden,Joe Biden,2021-2023,3.93,1.95
1320,2012,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.24,"ROMNEY, MITT",REPUBLICAN,37.12,Real GDP,Obama 1,Barack Obama,2009-2013,10.88,2.62
1326,2012,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.24,"ROMNEY, MITT",REPUBLICAN,37.12,Real GDP,Obama 2,Barack Obama,2013-2017,17.1,4.03
1332,2012,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.24,"ROMNEY, MITT",REPUBLICAN,37.12,Real GDP,Trump,Donald Trump,2017-2021,15.09,3.62
1338,2012,CALIFORNIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,60.24,"ROMNEY, MITT",REPUBLICAN,37.12,Real GDP,Biden,Joe Biden,2021-2023,3.0,1.49
1344,2012,COLORADO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.49,"ROMNEY, MITT",REPUBLICAN,46.13,Real GDP,Obama 1,Barack Obama,2009-2013,9.37,2.27
1350,2012,COLORADO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.49,"ROMNEY, MITT",REPUBLICAN,46.13,Real GDP,Obama 2,Barack Obama,2013-2017,16.16,3.82
1356,2012,COLORADO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.49,"ROMNEY, MITT",REPUBLICAN,46.13,Real GDP,Trump,Donald Trump,2017-2021,16.06,3.83
1362,2012,COLORADO,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,51.49,"ROMNEY, MITT",REPUBLICAN,46.13,Real GDP,Biden,Joe Biden,2021-2023,7.53,3.7
1368,2012,CONNECTICUT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.09,"ROMNEY, MITT",REPUBLICAN,40.75,Real GDP,Obama 1,Barack Obama,2009-2013,-2.49,-0.62
1374,2012,CONNECTICUT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.09,"ROMNEY, MITT",REPUBLICAN,40.75,Real GDP,Obama 2,Barack Obama,2013-2017,5.78,1.42
1380,2012,CONNECTICUT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.09,"ROMNEY, MITT",REPUBLICAN,40.75,Real GDP,Trump,Donald Trump,2017-2021,-1.47,-0.32
1386,2012,CONNECTICUT,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.09,"ROMNEY, MITT",REPUBLICAN,40.75,Real GDP,Biden,Joe Biden,2021-2023,6.22,3.06
1392,2012,DELAWARE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.61,"ROMNEY, MITT",REPUBLICAN,39.98,Real GDP,Obama 1,Barack Obama,2009-2013,-0.77,-0.16
1398,2012,DELAWARE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.61,"ROMNEY, MITT",REPUBLICAN,39.98,Real GDP,Obama 2,Barack Obama,2013-2017,1.31,0.46
1404,2012,DELAWARE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.61,"ROMNEY, MITT",REPUBLICAN,39.98,Real GDP,Trump,Donald Trump,2017-2021,7.33,1.83
1410,2012,DELAWARE,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,58.61,"ROMNEY, MITT",REPUBLICAN,39.98,Real GDP,Biden,Joe Biden,2021-2023,4.5,2.23
1416,2012,DISTRICT OF COLUMBIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,90.91,"ROMNEY, MITT",REPUBLICAN,7.28,Real GDP,Obama 1,Barack Obama,2009-2013,7.31,1.79
1422,2012,DISTRICT OF COLUMBIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,90.91,"ROMNEY, MITT",REPUBLICAN,7.28,Real GDP,Obama 2,Barack Obama,2013-2017,8.22,2.0
1428,2012,DISTRICT OF COLUMBIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,90.91,"ROMNEY, MITT",REPUBLICAN,7.28,Real GDP,Trump,Donald Trump,2017-2021,6.58,1.62
1434,2012,DISTRICT OF COLUMBIA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,90.91,"ROMNEY, MITT",REPUBLICAN,7.28,Real GDP,Biden,Joe Biden,2021-2023,2.01,1.0
1440,2012,FLORIDA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.01,"ROMNEY, MITT",REPUBLICAN,49.13,Real GDP,Obama 1,Barack Obama,2009-2013,4.72,1.17
1446,2012,FLORIDA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.01,"ROMNEY, MITT",REPUBLICAN,49.13,Real GDP,Obama 2,Barack Obama,2013-2017,15.3,3.63
1452,2012,FLORIDA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.01,"ROMNEY, MITT",REPUBLICAN,49.13,Real GDP,Trump,Donald Trump,2017-2021,15.34,3.7
1458,2012,FLORIDA,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,50.01,"ROMNEY, MITT",REPUBLICAN,49.13,Real GDP,Biden,Joe Biden,2021-2023,10.44,5.1
1464,2012,GEORGIA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.33,"OBAMA, BARACK H.",DEMOCRAT,45.51,Real GDP,Obama 1,Barack Obama,2009-2013,7.73,1.88
1470,2012,GEORGIA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.33,"OBAMA, BARACK H.",DEMOCRAT,45.51,Real GDP,Obama 2,Barack Obama,2013-2017,16.73,3.94
1476,2012,GEORGIA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.33,"OBAMA, BARACK H.",DEMOCRAT,45.51,Real GDP,Trump,Donald Trump,2017-2021,10.19,2.51
1482,2012,GEORGIA,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,53.33,"OBAMA, BARACK H.",DEMOCRAT,45.51,Real GDP,Biden,Joe Biden,2021-2023,5.47,2.7
1488,2012,HAWAII,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,70.15,"ROMNEY, MITT",REPUBLICAN,27.68,Real GDP,Obama 1,Barack Obama,2009-2013,8.66,2.1
1494,2012,HAWAII,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,70.15,"ROMNEY, MITT",REPUBLICAN,27.68,Real GDP,Obama 2,Barack Obama,2013-2017,8.57,2.08
1500,2012,HAWAII,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,70.15,"ROMNEY, MITT",REPUBLICAN,27.68,Real GDP,Trump,Donald Trump,2017-2021,-3.46,-0.7
1506,2012,HAWAII,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,70.15,"ROMNEY, MITT",REPUBLICAN,27.68,Real GDP,Biden,Joe Biden,2021-2023,4.98,2.46
1512,2012,IDAHO,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,64.53,"OBAMA, BARACK H.",DEMOCRAT,32.62,Real GDP,Obama 1,Barack Obama,2009-2013,5.7,1.42
1518,2012,IDAHO,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,64.53,"OBAMA, BARACK H.",DEMOCRAT,32.62,Real GDP,Obama 2,Barack Obama,2013-2017,12.61,3.02
1524,2012,IDAHO,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,64.53,"OBAMA, BARACK H.",DEMOCRAT,32.62,Real GDP,Trump,Donald Trump,2017-2021,21.98,5.12
1530,2012,IDAHO,US PRESIDENT,"ROMNEY, MITT",REPUBLICAN,64.53,"OBAMA, BARACK H.",DEMOCRAT,32.62,Real GDP,Biden,Joe Biden,2021-2023,7.79,3.82
1536,2012,ILLINOIS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.6,"ROMNEY, MITT",REPUBLICAN,40.73,Real GDP,Obama 1,Barack Obama,2009-2013,7.38,1.8
1542,2012,ILLINOIS,US PRESIDENT,"OBAMA, BARACK H.",DEMOCRAT,57.6,"ROMNEY, MITT",REPUBLICAN,40.73,Real GDP,Obama 2,Barack Obama,2013-2017,4.7,1.16
