State,Indicator,Term,President,Cycle Duration,Overall Growth (%),Average Growth (%)
Idaho,Total Employment,Bush 1,George W. Bush,2001-2005,9.97,2.41
Illinois,Real GDP,Bush 1,George W. Bush,2001-2005,7.68,1.87
Illinois,GDP,Bush 1,George W. Bush,2001-2005,17.92,4.22
Illinois,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,10.27,2.48
Illinois,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,13.22,3.15
Illinois,Total Employment,Bush 1,George W. Bush,2001-2005,0.34,0.09
Indiana,Real GDP,Bush 1,George W. Bush,2001-2005,11.85,2.85
Indiana,GDP,Bush 1,George W. Bush,2001-2005,20.51,4.78
Indiana,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,9.72,2.35
Indiana,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,12.21,2.93
Indiana,Total Employment,Bush 1,George W. Bush,2001-2005,1.28,0.32
Iowa,Real GDP,Bush 1,George W. Bush,2001-2005,19.95,4.68
Iowa,GDP,Bush 1,George W. Bush,2001-2005,29.44,6.7
Iowa,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,15.16,3.62
Iowa,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,17.68,4.18
Iowa,Total Employment,Bush 1,George W. Bush,2001-2005,1.67,0.42
Kansas,Real GDP,Bush 1,George W. Bush,2001-2005,8.47,2.06
Kansas,GDP,Bush 1,George W. Bush,2001-2005,18.54,4.35
Kansas,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,11.34,2.73
Kansas,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,13.82,3.29
Kansas,Total Employment,Bush 1,George W. Bush,2001-2005,-0.11,-0.02
Kentucky,Real GDP,Bush 1,George W. Bush,2001-2005,12.83,3.07
Kentucky,GDP,Bush 1,George W. Bush,2001-2005,23.05,5.33
Kentucky,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,13.85,3.3
Kentucky,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,16.67,3.94
Kentucky,Total Employment,Bush 1,George W. Bush,2001-2005,2.37,0.59
Louisiana,Real GDP,Bush 1,George W. Bush,2001-2005,18.54,4.35
Louisiana,GDP,Bush 1,George W. Bush,2001-2005,44.22,9.72
Louisiana,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,16.93,4.0
Louisiana,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,20.38,4.75
Louisiana,Total Employment,Bush 1,George W. Bush,2001-2005,-0.03,-0.0
Maine,Real GDP,Bush 1,George W. Bush,2001-2005,10.22,2.47
Maine,GDP,Bush 1,George W. Bush,2001-2005,20.82,4.85
Maine,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,13.4,3.2
Maine,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,16.18,3.84
Maine,Total Employment,Bush 1,George W. Bush,2001-2005,2.76,0.69
Maryland,Real GDP,Bush 1,George W. Bush,2001-2005,15.87,3.75
Maryland,GDP,Bush 1,George W. Bush,2001-2005,27.53,6.28
Maryland,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,17.02,4.01
Maryland,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,19.81,4.63
Maryland,Total Employment,Bush 1,George W. Bush,2001-2005,6.12,1.5
Massachusetts,Real GDP,Bush 1,George W. Bush,2001-2005,7.44,1.82
Massachusetts,GDP,Bush 1,George W. Bush,2001-2005,15.52,3.68
Massachusetts,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,10.95,2.66
Massachusetts,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,15.41,3.65
Massachusetts,Total Employment,Bush 1,George W. Bush,2001-2005,-0.12,-0.02
Michigan,Real GDP,Bush 1,George W. Bush,2001-2005,8.93,2.16
Michigan,GDP,Bush 1,George W. Bush,2001-2005,15.38,3.64
Michigan,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,6.72,1.65
Michigan,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,10.01,2.42
Michigan,Total Employment,Bush 1,George W. Bush,2001-2005,-0.62,-0.15
Minnesota,Real GDP,Bush 1,George W. Bush,2001-2005,14.51,3.45
Minnesota,GDP,Bush 1,George W. Bush,2001-2005,24.26,5.59
Minnesota,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,13.15,3.15
Minnesota,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,15.72,3.74
Minnesota,Total Employment,Bush 1,George W. Bush,2001-2005,3.01,0.75
Mississippi,Real GDP,Bush 1,George W. Bush,2001-2005,10.88,2.62
Mississippi,GDP,Bush 1,George W. Bush,2001-2005,22.5,5.21
Mississippi,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,17.14,4.05
Mississippi,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,19.9,4.65
Mississippi,Total Employment,Bush 1,George W. Bush,2001-2005,1.22,0.3
Missouri,Real GDP,Bush 1,George W. Bush,2001-2005,9.59,2.32
Missouri,GDP,Bush 1,George W. Bush,2001-2005,19.54,4.57
Missouri,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,12.65,3.03
Missouri,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,15.92,3.77
Missouri,Total Employment,Bush 1,George W. Bush,2001-2005,2.36,0.59
Montana,Real GDP,Bush 1,George W. Bush,2001-2005,18.84,4.41
Montana,GDP,Bush 1,George W. Bush,2001-2005,35.2,7.85
Montana,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,24.8,5.71
Montana,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,27.4,6.25
Montana,Total Employment,Bush 1,George W. Bush,2001-2005,7.26,1.77
Nebraska,Real GDP,Bush 1,George W. Bush,2001-2005,14.94,3.56
Nebraska,GDP,Bush 1,George W. Bush,2001-2005,25.58,5.87
Nebraska,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,13.97,3.34
Nebraska,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,16.61,3.93
Nebraska,Total Employment,Bush 1,George W. Bush,2001-2005,1.45,0.36
Nevada,Real GDP,Bush 1,George W. Bush,2001-2005,29.6,6.73
Nevada,GDP,Bush 1,George W. Bush,2001-2005,44.7,9.74
Nevada,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,16.93,4.04
Nevada,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,17.92,4.23
Nevada,Total Employment,Bush 1,George W. Bush,2001-2005,19.33,4.54
New Hampshire,Real GDP,Bush 1,George W. Bush,2001-2005,12.7,3.04
New Hampshire,GDP,Bush 1,George W. Bush,2001-2005,21.0,4.88
New Hampshire,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,9.85,2.39
New Hampshire,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,13.21,3.16
New Hampshire,Total Employment,Bush 1,George W. Bush,2001-2005,4.75,1.17
New Jersey,Real GDP,Bush 1,George W. Bush,2001-2005,7.21,1.76
New Jersey,GDP,Bush 1,George W. Bush,2001-2005,16.96,4.0
New Jersey,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,10.07,2.44
New Jersey,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,13.43,3.2
New Jersey,Total Employment,Bush 1,George W. Bush,2001-2005,4.48,1.1
New Mexico,Real GDP,Bush 1,George W. Bush,2001-2005,18.22,4.32
New Mexico,GDP,Bush 1,George W. Bush,2001-2005,33.18,7.48
New Mexico,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,17.11,4.03
New Mexico,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,19.63,4.58
New Mexico,Total Employment,Bush 1,George W. Bush,2001-2005,7.55,1.84
New York,Real GDP,Bush 1,George W. Bush,2001-2005,4.89,1.21
New York,GDP,Bush 1,George W. Bush,2001-2005,15.24,3.63
New York,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,9.33,2.28
New York,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,12.66,3.03
New York,Total Employment,Bush 1,George W. Bush,2001-2005,2.07,0.52
North Carolina,Real GDP,Bush 1,George W. Bush,2001-2005,14.16,3.38
North Carolina,GDP,Bush 1,George W. Bush,2001-2005,23.49,5.43
North Carolina,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,15.93,3.79
North Carolina,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,19.13,4.49
North Carolina,Total Employment,Bush 1,George W. Bush,2001-2005,4.89,1.21
North Dakota,Real GDP,Bush 1,George W. Bush,2001-2005,16.97,4.02
North Dakota,GDP,Bush 1,George W. Bush,2001-2005,29.48,6.69
North Dakota,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,19.77,4.66
North Dakota,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,22.15,5.18
North Dakota,Total Employment,Bush 1,George W. Bush,2001-2005,3.64,0.9
Ohio,Real GDP,Bush 1,George W. Bush,2001-2005,9.4,2.27
Ohio,GDP,Bush 1,George W. Bush,2001-2005,18.77,4.4
Ohio,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,10.79,2.6
Ohio,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,13.53,3.23
Ohio,Total Employment,Bush 1,George W. Bush,2001-2005,-0.25,-0.06
Oklahoma,Real GDP,Bush 1,George W. Bush,2001-2005,11.67,2.8
Oklahoma,GDP,Bush 1,George W. Bush,2001-2005,29.18,6.65
Oklahoma,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,24.03,5.57
Oklahoma,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,27.4,6.25
Oklahoma,Total Employment,Bush 1,George W. Bush,2001-2005,1.69,0.43
Oregon,Real GDP,Bush 1,George W. Bush,2001-2005,16.78,3.96
Oregon,GDP,Bush 1,George W. Bush,2001-2005,22.7,5.26
Oregon,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,11.65,2.81
Oregon,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,13.13,3.14
Oregon,Total Employment,Bush 1,George W. Bush,2001-2005,5.67,1.4
Pennsylvania,Real GDP,Bush 1,George W. Bush,2001-2005,8.42,2.04
Pennsylvania,GDP,Bush 1,George W. Bush,2001-2005,19.21,4.5
Pennsylvania,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,14.61,3.48
Pennsylvania,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,17.4,4.1
Pennsylvania,Total Employment,Bush 1,George W. Bush,2001-2005,2.0,0.5
Rhode Island,Real GDP,Bush 1,George W. Bush,2001-2005,12.43,2.98
Rhode Island,GDP,Bush 1,George W. Bush,2001-2005,23.58,5.44
Rhode Island,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,15.57,3.69
Rhode Island,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,18.83,4.42
Rhode Island,Total Employment,Bush 1,George W. Bush,2001-2005,3.5,0.86
South Carolina,Real GDP,Bush 1,George W. Bush,2001-2005,12.55,3.0
South Carolina,GDP,Bush 1,George W. Bush,2001-2005,21.65,5.03
South Carolina,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,13.62,3.25
South Carolina,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,15.79,3.73
South Carolina,Total Employment,Bush 1,George W. Bush,2001-2005,4.42,1.09
South Dakota,Real GDP,Bush 1,George W. Bush,2001-2005,21.4,5.02
South Dakota,GDP,Bush 1,George W. Bush,2001-2005,31.65,7.15
South Dakota,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,21.66,5.08
South Dakota,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,24.34,5.65
South Dakota,Total Employment,Bush 1,George W. Bush,2001-2005,3.15,0.78
Tennessee,Real GDP,Bush 1,George W. Bush,2001-2005,15.48,3.67
Tennessee,GDP,Bush 1,George W. Bush,2001-2005,24.43,5.62
Tennessee,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,14.23,3.39
Tennessee,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,16.83,3.97
Tennessee,Total Employment,Bush 1,George W. Bush,2001-2005,4.41,1.09
Texas,Real GDP,Bush 1,George W. Bush,2001-2005,12.04,2.9
Texas,GDP,Bush 1,George W. Bush,2001-2005,28.65,6.54
Texas,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,11.94,2.89
Texas,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,14.64,3.48
Texas,Total Employment,Bush 1,George W. Bush,2001-2005,5.85,1.44
Utah,Real GDP,Bush 1,George W. Bush,2001-2005,18.14,4.28
Utah,GDP,Bush 1,George W. Bush,2001-2005,30.76,6.97
Utah,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,15.62,3.72
Utah,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,17.35,4.08
Utah,Total Employment,Bush 1,George W. Bush,2001-2005,9.04,2.2
Vermont,Real GDP,Bush 1,George W. Bush,2001-2005,14.02,3.35
Vermont,GDP,Bush 1,George W. Bush,2001-2005,22.07,5.12
Vermont,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,12.6,3.02
Vermont,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,14.97,3.57
Vermont,Total Employment,Bush 1,George W. Bush,2001-2005,3.28,0.81
Virginia,Real GDP,Bush 1,George W. Bush,2001-2005,14.4,3.43
Virginia,GDP,Bush 1,George W. Bush,2001-2005,25.12,5.78
Virginia,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,17.93,4.22
Virginia,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,21.26,4.94
Virginia,Total Employment,Bush 1,George W. Bush,2001-2005,6.42,1.57
Washington,Real GDP,Bush 1,George W. Bush,2001-2005,12.75,3.07
Washington,GDP,Bush 1,George W. Bush,2001-2005,23.29,5.4
Washington,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,12.78,3.07
Washington,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,16.19,3.84
Washington,Total Employment,Bush 1,George W. Bush,2001-2005,4.9,1.21
West Virginia,Real GDP,Bush 1,George W. Bush,2001-2005,6.74,1.65
West Virginia,GDP,Bush 1,George W. Bush,2001-2005,22.01,5.12
West Virginia,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,13.08,3.13
West Virginia,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,15.23,3.61
West Virginia,Total Employment,Bush 1,George W. Bush,2001-2005,2.09,0.52
Wisconsin,Real GDP,Bush 1,George W. Bush,2001-2005,11.51,2.76
Wisconsin,GDP,Bush 1,George W. Bush,2001-2005,20.29,4.73
Wisconsin,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,11.05,2.66
Wisconsin,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,13.89,3.31
Wisconsin,Total Employment,Bush 1,George W. Bush,2001-2005,3.17,0.78
Wyoming,Real GDP,Bush 1,George W. Bush,2001-2005,14.56,3.46
Wyoming,GDP,Bush 1,George W. Bush,2001-2005,46.89,10.23
Wyoming,Per Capita Personal Income,Bush 1,George W. Bush,2001-2005,24.64,5.69
Wyoming,Per Capita Disposable Personal Income,Bush 1,George W. Bush,2001-2005,27.91,6.35
Wyoming,Total Employment,Bush 1,George W. Bush,2001-2005,7.35,1.79
United States,Real GDP,Bush 2,George W. Bush,2005-2009,2.26,0.58
United States,GDP,Bush 2,George W. Bush,2005-2009,11.03,2.7
United States,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,10.2,2.53
United States,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,12.62,3.04
United States,Total Employment,Bush 2,George W. Bush,2005-2009,0.75,0.21
Alabama,Real GDP,Bush 2,George W. Bush,2005-2009,-1.55,-0.37
Alabama,GDP,Bush 2,George W. Bush,2005-2009,7.69,1.9
Alabama,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,9.86,2.42
Alabama,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,11.66,2.81
Alabama,Total Employment,Bush 2,George W. Bush,2005-2009,-0.29,-0.04
Alaska,Real GDP,Bush 2,George W. Bush,2005-2009,23.75,5.54
Alaska,GDP,Bush 2,George W. Bush,2005-2009,23.99,5.91
Alaska,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,21.01,4.96
Alaska,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,22.07,5.15
Alaska,Total Employment,Bush 2,George W. Bush,2005-2009,5.0,1.23
Arizona,Real GDP,Bush 2,George W. Bush,2005-2009,-2.25,-0.44
Arizona,GDP,Bush 2,George W. Bush,2005-2009,7.4,1.95
Arizona,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,4.1,1.12
Arizona,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,7.54,1.9
Arizona,Total Employment,Bush 2,George W. Bush,2005-2009,0.27,0.14
Arkansas,Real GDP,Bush 2,George W. Bush,2005-2009,-2.33,-0.57
Arkansas,GDP,Bush 2,George W. Bush,2005-2009,7.3,1.82
Arkansas,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,12.01,2.92
Arkansas,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,13.09,3.14
Arkansas,Total Employment,Bush 2,George W. Bush,2005-2009,0.34,0.1
California,Real GDP,Bush 2,George W. Bush,2005-2009,3.36,0.87
California,GDP,Bush 2,George W. Bush,2005-2009,10.65,2.63
California,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,7.55,1.92
California,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,10.42,2.54
California,Total Employment,Bush 2,George W. Bush,2005-2009,-1.44,-0.33
Colorado,Real GDP,Bush 2,George W. Bush,2005-2009,5.22,1.3
Colorado,GDP,Bush 2,George W. Bush,2005-2009,13.14,3.2
Colorado,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,7.02,1.83
Colorado,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,9.19,2.28
Colorado,Total Employment,Bush 2,George W. Bush,2005-2009,4.21,1.06
Connecticut,Real GDP,Bush 2,George W. Bush,2005-2009,2.84,0.76
Connecticut,GDP,Bush 2,George W. Bush,2005-2009,13.26,3.23
Connecticut,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,20.56,4.86
Connecticut,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,25.7,5.9
Connecticut,Total Employment,Bush 2,George W. Bush,2005-2009,1.11,0.29
Delaware,Real GDP,Bush 2,George W. Bush,2005-2009,4.23,1.09
Delaware,GDP,Bush 2,George W. Bush,2005-2009,10.92,2.68
Delaware,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,4.91,1.23
Delaware,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,8.09,1.98
Delaware,Total Employment,Bush 2,George W. Bush,2005-2009,-0.58,-0.12
District of Columbia,Real GDP,Bush 2,George W. Bush,2005-2009,6.21,1.53
District of Columbia,GDP,Bush 2,George W. Bush,2005-2009,17.58,4.15
District of Columbia,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,13.9,3.35
District of Columbia,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,16.26,3.85
District of Columbia,Total Employment,Bush 2,George W. Bush,2005-2009,3.4,0.84
Florida,Real GDP,Bush 2,George W. Bush,2005-2009,-4.83,-1.17
Florida,GDP,Bush 2,George W. Bush,2005-2009,4.88,1.28
Florida,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,2.91,0.83
Florida,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,6.41,1.63
Florida,Total Employment,Bush 2,George W. Bush,2005-2009,-2.24,-0.52
Georgia,Real GDP,Bush 2,George W. Bush,2005-2009,-3.5,-0.86
Georgia,GDP,Bush 2,George W. Bush,2005-2009,5.45,1.37
Georgia,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,2.79,0.73
Georgia,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,4.93,1.22
Georgia,Total Employment,Bush 2,George W. Bush,2005-2009,0.98,0.28
Hawaii,Real GDP,Bush 2,George W. Bush,2005-2009,1.61,0.43
Hawaii,GDP,Bush 2,George W. Bush,2005-2009,12.68,3.08
Hawaii,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,13.41,3.24
Hawaii,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,16.33,3.87
Hawaii,Total Employment,Bush 2,George W. Bush,2005-2009,1.21,0.33
Idaho,Real GDP,Bush 2,George W. Bush,2005-2009,3.28,0.85
Idaho,GDP,Bush 2,George W. Bush,2005-2009,11.68,2.86
Idaho,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,6.8,1.75
Idaho,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,9.65,2.37
Idaho,Total Employment,Bush 2,George W. Bush,2005-2009,2.2,0.61
Illinois,Real GDP,Bush 2,George W. Bush,2005-2009,-0.06,0.0
Illinois,GDP,Bush 2,George W. Bush,2005-2009,9.62,2.36
Illinois,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,8.93,2.26
Illinois,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,10.95,2.67
Illinois,Total Employment,Bush 2,George W. Bush,2005-2009,-0.41,-0.08
Indiana,Real GDP,Bush 2,George W. Bush,2005-2009,-2.14,-0.46
Indiana,GDP,Bush 2,George W. Bush,2005-2009,7.07,1.8
Indiana,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,9.0,2.23
Indiana,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,11.08,2.69
Indiana,Total Employment,Bush 2,George W. Bush,2005-2009,-3.08,-0.75
Iowa,Real GDP,Bush 2,George W. Bush,2005-2009,2.02,0.54
Iowa,GDP,Bush 2,George W. Bush,2005-2009,11.58,2.83
Iowa,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,14.92,3.62
Iowa,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,15.96,3.82
Iowa,Total Employment,Bush 2,George W. Bush,2005-2009,1.3,0.33
Kansas,Real GDP,Bush 2,George W. Bush,2005-2009,9.5,2.36
Kansas,GDP,Bush 2,George W. Bush,2005-2009,19.66,4.68
Kansas,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,21.77,5.2
Kansas,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,24.1,5.64
Kansas,Total Employment,Bush 2,George W. Bush,2005-2009,2.69,0.69
Kentucky,Real GDP,Bush 2,George W. Bush,2005-2009,-2.15,-0.51
Kentucky,GDP,Bush 2,George W. Bush,2005-2009,8.64,2.13
Kentucky,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,10.63,2.59
Kentucky,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,12.45,2.99
Kentucky,Total Employment,Bush 2,George W. Bush,2005-2009,-0.55,-0.12
Louisiana,Real GDP,Bush 2,George W. Bush,2005-2009,-3.08,-0.74
Louisiana,GDP,Bush 2,George W. Bush,2005-2009,3.41,0.91
Louisiana,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,22.8,5.44
Louisiana,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,22.68,5.34
Louisiana,Total Employment,Bush 2,George W. Bush,2005-2009,5.53,1.37
Maine,Real GDP,Bush 2,George W. Bush,2005-2009,-1.37,-0.34
Maine,GDP,Bush 2,George W. Bush,2005-2009,9.41,2.28
Maine,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,13.53,3.24
Maine,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,15.51,3.67
Maine,Total Employment,Bush 2,George W. Bush,2005-2009,-1.09,-0.26
Maryland,Real GDP,Bush 2,George W. Bush,2005-2009,3.27,0.81
Maryland,GDP,Bush 2,George W. Bush,2005-2009,13.94,3.32
Maryland,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,11.86,2.87
Maryland,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,14.06,3.35
Maryland,Total Employment,Bush 2,George W. Bush,2005-2009,1.47,0.38
Massachusetts,Real GDP,Bush 2,George W. Bush,2005-2009,5.81,1.44
Massachusetts,GDP,Bush 2,George W. Bush,2005-2009,14.19,3.39
Massachusetts,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,15.18,3.65
Massachusetts,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,18.51,4.35
Massachusetts,Total Employment,Bush 2,George W. Bush,2005-2009,1.1,0.29
Michigan,Real GDP,Bush 2,George W. Bush,2005-2009,-15.69,-4.12
Michigan,GDP,Bush 2,George W. Bush,2005-2009,-7.73,-1.94
Michigan,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,4.55,1.17
Michigan,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,6.86,1.69
Michigan,Total Employment,Bush 2,George W. Bush,2005-2009,-8.11,-2.07
Minnesota,Real GDP,Bush 2,George W. Bush,2005-2009,-1.62,-0.38
Minnesota,GDP,Bush 2,George W. Bush,2005-2009,7.36,1.82
Minnesota,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,8.33,2.1
Minnesota,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,10.57,2.58
Minnesota,Total Employment,Bush 2,George W. Bush,2005-2009,-0.7,-0.16
Mississippi,Real GDP,Bush 2,George W. Bush,2005-2009,1.61,0.43
Mississippi,GDP,Bush 2,George W. Bush,2005-2009,11.31,2.77
Mississippi,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,13.12,3.17
Mississippi,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,13.85,3.32
Mississippi,Total Employment,Bush 2,George W. Bush,2005-2009,1.26,0.34
Missouri,Real GDP,Bush 2,George W. Bush,2005-2009,1.48,0.39
Missouri,GDP,Bush 2,George W. Bush,2005-2009,11.74,2.84
Missouri,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,12.56,3.05
Missouri,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,14.41,3.44
Missouri,Total Employment,Bush 2,George W. Bush,2005-2009,-0.3,-0.06
Montana,Real GDP,Bush 2,George W. Bush,2005-2009,5.38,1.36
Montana,GDP,Bush 2,George W. Bush,2005-2009,16.4,3.98
Montana,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,15.55,3.76
Montana,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,17.04,4.06
Montana,Total Employment,Bush 2,George W. Bush,2005-2009,3.14,0.8
Nebraska,Real GDP,Bush 2,George W. Bush,2005-2009,5.74,1.41
Nebraska,GDP,Bush 2,George W. Bush,2005-2009,16.61,3.94
Nebraska,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,14.6,3.52
Nebraska,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,16.21,3.86
Nebraska,Total Employment,Bush 2,George W. Bush,2005-2009,2.61,0.65
Nevada,Real GDP,Bush 2,George W. Bush,2005-2009,-6.89,-1.67
Nevada,GDP,Bush 2,George W. Bush,2005-2009,4.53,1.26
Nevada,Per Capita Personal Income,Bush 2,George W. Bush,2005-2009,-4.7,-1.11
Nevada,Per Capita Disposable Personal Income,Bush 2,George W. Bush,2005-2009,-1.33,-0.28
Nevada,Total Employment,Bush 2,George W. Bush,2005-2009,-1.36,-0.25
