State,Indicator,Term,President,Cycle Duration,Overall Growth (%),Average Growth (%)
Colorado,Total Employment,Obama 1,Barack Obama,2009-2013,6.09,1.5
Connecticut,Real GDP,Obama 1,Barack Obama,2009-2013,-2.49,-0.62
Connecticut,Real Personal Income,Obama 1,Barack Obama,2009-2013,0.75,0.24
Connecticut,Real PCE,Obama 1,Barack Obama,2009-2013,5.92,1.46
Connecticut,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,-0.6,-0.1
Connecticut,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,4.5,1.12
Connecticut,Total Employment,Obama 1,Barack Obama,2009-2013,2.29,0.57
Delaware,Real GDP,Obama 1,Barack Obama,2009-2013,-0.77,-0.16
Delaware,Real Personal Income,Obama 1,Barack Obama,2009-2013,6.85,1.7
Delaware,Real PCE,Obama 1,Barack Obama,2009-2013,9.05,2.19
Delaware,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,2.94,0.76
Delaware,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,5.06,1.24
Delaware,Total Employment,Obama 1,Barack Obama,2009-2013,3.63,0.9
District of Columbia,Real GDP,Obama 1,Barack Obama,2009-2013,7.31,1.79
District of Columbia,Real Personal Income,Obama 1,Barack Obama,2009-2013,12.34,2.99
District of Columbia,Real PCE,Obama 1,Barack Obama,2009-2013,9.79,2.37
District of Columbia,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,3.19,0.82
District of Columbia,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,0.84,0.21
District of Columbia,Total Employment,Obama 1,Barack Obama,2009-2013,6.57,1.6
Florida,Real GDP,Obama 1,Barack Obama,2009-2013,4.72,1.17
Florida,Real Personal Income,Obama 1,Barack Obama,2009-2013,7.26,1.79
Florida,Real PCE,Obama 1,Barack Obama,2009-2013,7.91,1.92
Florida,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,2.56,0.66
Florida,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,3.18,0.79
Florida,Total Employment,Obama 1,Barack Obama,2009-2013,7.09,1.73
Georgia,Real GDP,Obama 1,Barack Obama,2009-2013,7.73,1.88
Georgia,Real Personal Income,Obama 1,Barack Obama,2009-2013,2.19,0.58
Georgia,Real PCE,Obama 1,Barack Obama,2009-2013,3.64,0.92
Georgia,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,-1.49,-0.34
Georgia,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,-0.1,-0.0
Georgia,Total Employment,Obama 1,Barack Obama,2009-2013,4.77,1.18
Hawaii,Real GDP,Obama 1,Barack Obama,2009-2013,8.66,2.1
Hawaii,Real Personal Income,Obama 1,Barack Obama,2009-2013,4.11,1.05
Hawaii,Real PCE,Obama 1,Barack Obama,2009-2013,6.51,1.6
Hawaii,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,-1.48,-0.34
Hawaii,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,0.79,0.21
Hawaii,Total Employment,Obama 1,Barack Obama,2009-2013,4.62,1.14
Idaho,Real GDP,Obama 1,Barack Obama,2009-2013,5.7,1.42
Idaho,Real Personal Income,Obama 1,Barack Obama,2009-2013,12.02,2.88
Idaho,Real PCE,Obama 1,Barack Obama,2009-2013,9.31,2.26
Idaho,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,7.61,1.85
Idaho,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,5.01,1.24
Idaho,Total Employment,Obama 1,Barack Obama,2009-2013,2.56,0.64
Illinois,Real GDP,Obama 1,Barack Obama,2009-2013,7.38,1.8
Illinois,Real Personal Income,Obama 1,Barack Obama,2009-2013,8.31,2.02
Illinois,Real PCE,Obama 1,Barack Obama,2009-2013,5.55,1.36
Illinois,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,6.94,1.7
Illinois,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,4.21,1.04
Illinois,Total Employment,Obama 1,Barack Obama,2009-2013,2.73,0.68
Indiana,Real GDP,Obama 1,Barack Obama,2009-2013,11.15,2.71
Indiana,Real Personal Income,Obama 1,Barack Obama,2009-2013,8.66,2.11
Indiana,Real PCE,Obama 1,Barack Obama,2009-2013,5.31,1.3
Indiana,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,6.65,1.64
Indiana,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,3.36,0.83
Indiana,Total Employment,Obama 1,Barack Obama,2009-2013,4.57,1.13
Iowa,Real GDP,Obama 1,Barack Obama,2009-2013,9.14,2.22
Iowa,Real Personal Income,Obama 1,Barack Obama,2009-2013,8.26,2.04
Iowa,Real PCE,Obama 1,Barack Obama,2009-2013,4.8,1.19
Iowa,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,5.84,1.46
Iowa,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,2.46,0.62
Iowa,Total Employment,Obama 1,Barack Obama,2009-2013,3.08,0.76
Kansas,Real GDP,Obama 1,Barack Obama,2009-2013,6.2,1.52
Kansas,Real Personal Income,Obama 1,Barack Obama,2009-2013,9.31,2.28
Kansas,Real PCE,Obama 1,Barack Obama,2009-2013,2.18,0.55
Kansas,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,6.71,1.67
Kansas,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,-0.25,-0.06
Kansas,Total Employment,Obama 1,Barack Obama,2009-2013,3.08,0.76
Kentucky,Real GDP,Obama 1,Barack Obama,2009-2013,10.43,2.52
Kentucky,Real Personal Income,Obama 1,Barack Obama,2009-2013,2.73,0.68
Kentucky,Real PCE,Obama 1,Barack Obama,2009-2013,2.16,0.54
Kentucky,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,0.44,0.12
Kentucky,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,-0.13,-0.03
Kentucky,Total Employment,Obama 1,Barack Obama,2009-2013,3.56,0.88
Louisiana,Real GDP,Obama 1,Barack Obama,2009-2013,-2.23,-0.5
Louisiana,Real Personal Income,Obama 1,Barack Obama,2009-2013,3.41,0.85
Louisiana,Real PCE,Obama 1,Barack Obama,2009-2013,3.53,0.87
Louisiana,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,0.36,0.1
Louisiana,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,0.47,0.12
Louisiana,Total Employment,Obama 1,Barack Obama,2009-2013,4.43,1.09
Maine,Real GDP,Obama 1,Barack Obama,2009-2013,0.41,0.11
Maine,Real Personal Income,Obama 1,Barack Obama,2009-2013,0.68,0.2
Maine,Real PCE,Obama 1,Barack Obama,2009-2013,3.24,0.82
Maine,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,0.45,0.14
Maine,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,3.01,0.77
Maine,Total Employment,Obama 1,Barack Obama,2009-2013,0.38,0.1
Maryland,Real GDP,Obama 1,Barack Obama,2009-2013,8.43,2.06
Maryland,Real Personal Income,Obama 1,Barack Obama,2009-2013,5.29,1.33
Maryland,Real PCE,Obama 1,Barack Obama,2009-2013,6.58,1.62
Maryland,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,1.2,0.32
Maryland,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,2.43,0.61
Maryland,Total Employment,Obama 1,Barack Obama,2009-2013,4.0,0.99
Massachusetts,Real GDP,Obama 1,Barack Obama,2009-2013,10.35,2.5
Massachusetts,Real Personal Income,Obama 1,Barack Obama,2009-2013,8.68,2.11
Massachusetts,Real PCE,Obama 1,Barack Obama,2009-2013,7.6,1.85
Massachusetts,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,4.83,1.19
Massachusetts,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,3.8,0.94
Massachusetts,Total Employment,Obama 1,Barack Obama,2009-2013,5.77,1.42
Michigan,Real GDP,Obama 1,Barack Obama,2009-2013,13.57,3.24
Michigan,Real Personal Income,Obama 1,Barack Obama,2009-2013,7.92,1.94
Michigan,Real PCE,Obama 1,Barack Obama,2009-2013,7.98,1.94
Michigan,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,7.42,1.82
Michigan,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,7.48,1.82
Michigan,Total Employment,Obama 1,Barack Obama,2009-2013,5.48,1.35
Minnesota,Real GDP,Obama 1,Barack Obama,2009-2013,11.08,2.66
Minnesota,Real Personal Income,Obama 1,Barack Obama,2009-2013,11.82,2.85
Minnesota,Real PCE,Obama 1,Barack Obama,2009-2013,7.69,1.87
Minnesota,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,8.75,2.14
Minnesota,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,4.73,1.16
Minnesota,Total Employment,Obama 1,Barack Obama,2009-2013,3.84,0.95
Mississippi,Real GDP,Obama 1,Barack Obama,2009-2013,3.49,0.86
Mississippi,Real Personal Income,Obama 1,Barack Obama,2009-2013,1.5,0.38
Mississippi,Real PCE,Obama 1,Barack Obama,2009-2013,0.81,0.2
Mississippi,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,0.55,0.14
Mississippi,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,-0.13,-0.03
Mississippi,Total Employment,Obama 1,Barack Obama,2009-2013,2.69,0.67
Missouri,Real GDP,Obama 1,Barack Obama,2009-2013,4.3,1.07
Missouri,Real Personal Income,Obama 1,Barack Obama,2009-2013,1.37,0.36
Missouri,Real PCE,Obama 1,Barack Obama,2009-2013,2.62,0.66
Missouri,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,-0.02,0.02
Missouri,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,1.21,0.31
Missouri,Total Employment,Obama 1,Barack Obama,2009-2013,1.23,0.31
Montana,Real GDP,Obama 1,Barack Obama,2009-2013,10.2,2.46
Montana,Real Personal Income,Obama 1,Barack Obama,2009-2013,12.01,2.9
Montana,Real PCE,Obama 1,Barack Obama,2009-2013,10.32,2.5
Montana,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,8.49,2.08
Montana,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,6.84,1.68
Montana,Total Employment,Obama 1,Barack Obama,2009-2013,3.65,0.9
Nebraska,Real GDP,Obama 1,Barack Obama,2009-2013,11.4,2.76
Nebraska,Real Personal Income,Obama 1,Barack Obama,2009-2013,10.29,2.57
Nebraska,Real PCE,Obama 1,Barack Obama,2009-2013,7.24,1.77
Nebraska,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,6.72,1.73
Nebraska,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,3.77,0.94
Nebraska,Total Employment,Obama 1,Barack Obama,2009-2013,3.52,0.87
Nevada,Real GDP,Obama 1,Barack Obama,2009-2013,3.03,0.75
Nevada,Real Personal Income,Obama 1,Barack Obama,2009-2013,7.63,1.87
Nevada,Real PCE,Obama 1,Barack Obama,2009-2013,8.84,2.15
Nevada,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,4.31,1.08
Nevada,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,5.48,1.35
Nevada,Total Employment,Obama 1,Barack Obama,2009-2013,3.2,0.81
New Hampshire,Real GDP,Obama 1,Barack Obama,2009-2013,7.1,1.74
New Hampshire,Real Personal Income,Obama 1,Barack Obama,2009-2013,7.38,1.82
New Hampshire,Real PCE,Obama 1,Barack Obama,2009-2013,6.67,1.63
New Hampshire,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,6.17,1.53
New Hampshire,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,5.47,1.34
New Hampshire,Total Employment,Obama 1,Barack Obama,2009-2013,1.73,0.43
New Jersey,Real GDP,Obama 1,Barack Obama,2009-2013,4.5,1.12
New Jersey,Real Personal Income,Obama 1,Barack Obama,2009-2013,5.92,1.46
New Jersey,Real PCE,Obama 1,Barack Obama,2009-2013,5.34,1.32
New Jersey,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,3.22,0.8
New Jersey,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,2.65,0.67
New Jersey,Total Employment,Obama 1,Barack Obama,2009-2013,2.82,0.7
New Mexico,Real GDP,Obama 1,Barack Obama,2009-2013,-0.8,-0.2
New Mexico,Real Personal Income,Obama 1,Barack Obama,2009-2013,1.67,0.44
New Mexico,Real PCE,Obama 1,Barack Obama,2009-2013,4.88,1.21
New Mexico,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,-1.22,-0.29
New Mexico,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,1.9,0.48
New Mexico,Total Employment,Obama 1,Barack Obama,2009-2013,0.34,0.09
New York,Real GDP,Obama 1,Barack Obama,2009-2013,8.87,2.16
New York,Real Personal Income,Obama 1,Barack Obama,2009-2013,9.14,2.22
New York,Real PCE,Obama 1,Barack Obama,2009-2013,9.07,2.2
New York,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,5.93,1.46
New York,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,5.86,1.44
New York,Total Employment,Obama 1,Barack Obama,2009-2013,5.78,1.42
North Carolina,Real GDP,Obama 1,Barack Obama,2009-2013,5.03,1.24
North Carolina,Real Personal Income,Obama 1,Barack Obama,2009-2013,-0.63,-0.12
North Carolina,Real PCE,Obama 1,Barack Obama,2009-2013,5.39,1.32
North Carolina,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,-4.22,-1.03
North Carolina,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,1.59,0.4
North Carolina,Total Employment,Obama 1,Barack Obama,2009-2013,4.24,1.05
North Dakota,Real GDP,Obama 1,Barack Obama,2009-2013,52.04,11.3
North Dakota,Real Personal Income,Obama 1,Barack Obama,2009-2013,30.72,7.06
North Dakota,Real PCE,Obama 1,Barack Obama,2009-2013,22.3,5.18
North Dakota,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,19.5,4.71
North Dakota,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,11.8,2.84
North Dakota,Total Employment,Obama 1,Barack Obama,2009-2013,19.16,4.5
Ohio,Real GDP,Obama 1,Barack Obama,2009-2013,9.45,2.29
Ohio,Real Personal Income,Obama 1,Barack Obama,2009-2013,7.33,1.8
Ohio,Real PCE,Obama 1,Barack Obama,2009-2013,6.86,1.68
Ohio,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,6.56,1.62
Ohio,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,6.1,1.49
Ohio,Total Employment,Obama 1,Barack Obama,2009-2013,3.51,0.87
Oklahoma,Real GDP,Obama 1,Barack Obama,2009-2013,12.26,2.95
Oklahoma,Real Personal Income,Obama 1,Barack Obama,2009-2013,13.03,3.12
Oklahoma,Real PCE,Obama 1,Barack Obama,2009-2013,5.1,1.25
Oklahoma,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,9.2,2.24
Oklahoma,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,1.54,0.39
Oklahoma,Total Employment,Obama 1,Barack Obama,2009-2013,5.26,1.29
Oregon,Real GDP,Obama 1,Barack Obama,2009-2013,7.15,1.75
Oregon,Real Personal Income,Obama 1,Barack Obama,2009-2013,7.06,1.72
Oregon,Real PCE,Obama 1,Barack Obama,2009-2013,5.3,1.31
Oregon,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,3.91,0.96
Oregon,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,2.2,0.55
Oregon,Total Employment,Obama 1,Barack Obama,2009-2013,3.25,0.81
Pennsylvania,Real GDP,Obama 1,Barack Obama,2009-2013,9.14,2.21
Pennsylvania,Real Personal Income,Obama 1,Barack Obama,2009-2013,8.76,2.13
Pennsylvania,Real PCE,Obama 1,Barack Obama,2009-2013,6.87,1.68
Pennsylvania,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,7.24,1.77
Pennsylvania,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,5.37,1.32
Pennsylvania,Total Employment,Obama 1,Barack Obama,2009-2013,3.5,0.87
Rhode Island,Real GDP,Obama 1,Barack Obama,2009-2013,4.69,1.16
Rhode Island,Real Personal Income,Obama 1,Barack Obama,2009-2013,7.45,1.86
Rhode Island,Real PCE,Obama 1,Barack Obama,2009-2013,4.25,1.05
Rhode Island,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,5.99,1.51
Rhode Island,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,2.83,0.7
Rhode Island,Total Employment,Obama 1,Barack Obama,2009-2013,2.4,0.6
South Carolina,Real GDP,Obama 1,Barack Obama,2009-2013,8.73,2.12
South Carolina,Real Personal Income,Obama 1,Barack Obama,2009-2013,5.03,1.24
South Carolina,Real PCE,Obama 1,Barack Obama,2009-2013,4.56,1.12
South Carolina,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,1.7,0.43
South Carolina,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,1.24,0.31
South Carolina,Total Employment,Obama 1,Barack Obama,2009-2013,5.62,1.38
South Dakota,Real GDP,Obama 1,Barack Obama,2009-2013,9.84,2.4
South Dakota,Real Personal Income,Obama 1,Barack Obama,2009-2013,5.25,1.37
South Dakota,Real PCE,Obama 1,Barack Obama,2009-2013,5.23,1.29
South Dakota,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,0.98,0.33
South Dakota,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,0.96,0.25
South Dakota,Total Employment,Obama 1,Barack Obama,2009-2013,4.45,1.09
Tennessee,Real GDP,Obama 1,Barack Obama,2009-2013,10.8,2.6
Tennessee,Real Personal Income,Obama 1,Barack Obama,2009-2013,5.9,1.45
Tennessee,Real PCE,Obama 1,Barack Obama,2009-2013,3.4,0.84
Tennessee,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,2.62,0.65
Tennessee,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,0.2,0.05
Tennessee,Total Employment,Obama 1,Barack Obama,2009-2013,4.71,1.16
Texas,Real GDP,Obama 1,Barack Obama,2009-2013,17.6,4.14
Texas,Real Personal Income,Obama 1,Barack Obama,2009-2013,16.32,3.88
Texas,Real PCE,Obama 1,Barack Obama,2009-2013,11.47,2.76
Texas,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,9.12,2.23
Texas,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,4.57,1.13
Texas,Total Employment,Obama 1,Barack Obama,2009-2013,9.36,2.27
Utah,Real GDP,Obama 1,Barack Obama,2009-2013,10.74,2.59
Utah,Real Personal Income,Obama 1,Barack Obama,2009-2013,14.27,3.4
Utah,Real PCE,Obama 1,Barack Obama,2009-2013,10.58,2.56
Utah,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,7.02,1.71
Utah,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,3.56,0.89
Utah,Total Employment,Obama 1,Barack Obama,2009-2013,7.31,1.79
Vermont,Real GDP,Obama 1,Barack Obama,2009-2013,6.52,1.61
Vermont,Real Personal Income,Obama 1,Barack Obama,2009-2013,6.81,1.68
Vermont,Real PCE,Obama 1,Barack Obama,2009-2013,6.77,1.66
Vermont,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,5.45,1.35
Vermont,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,5.42,1.34
Vermont,Total Employment,Obama 1,Barack Obama,2009-2013,2.6,0.65
Virginia,Real GDP,Obama 1,Barack Obama,2009-2013,6.23,1.53
Virginia,Real Personal Income,Obama 1,Barack Obama,2009-2013,4.71,1.19
Virginia,Real PCE,Obama 1,Barack Obama,2009-2013,4.36,1.08
Virginia,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,0.35,0.12
Virginia,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,0.02,0.01
Virginia,Total Employment,Obama 1,Barack Obama,2009-2013,2.95,0.73
Washington,Real GDP,Obama 1,Barack Obama,2009-2013,12.45,2.98
Washington,Real Personal Income,Obama 1,Barack Obama,2009-2013,12.91,3.1
Washington,Real PCE,Obama 1,Barack Obama,2009-2013,10.05,2.43
Washington,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,7.94,1.95
Washington,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,5.21,1.28
Washington,Total Employment,Obama 1,Barack Obama,2009-2013,4.62,1.14
West Virginia,Real GDP,Obama 1,Barack Obama,2009-2013,4.32,1.07
West Virginia,Real Personal Income,Obama 1,Barack Obama,2009-2013,-0.69,-0.15
West Virginia,Real PCE,Obama 1,Barack Obama,2009-2013,1.83,0.46
West Virginia,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,-1.17,-0.27
West Virginia,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,1.34,0.34
West Virginia,Total Employment,Obama 1,Barack Obama,2009-2013,1.69,0.42
Wisconsin,Real GDP,Obama 1,Barack Obama,2009-2013,8.75,2.13
Wisconsin,Real Personal Income,Obama 1,Barack Obama,2009-2013,5.88,1.45
Wisconsin,Real PCE,Obama 1,Barack Obama,2009-2013,4.35,1.08
Wisconsin,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,4.26,1.06
Wisconsin,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,2.76,0.69
Wisconsin,Total Employment,Obama 1,Barack Obama,2009-2013,2.75,0.68
Wyoming,Real GDP,Obama 1,Barack Obama,2009-2013,-5.4,-1.36
Wyoming,Real Personal Income,Obama 1,Barack Obama,2009-2013,13.55,3.29
Wyoming,Real PCE,Obama 1,Barack Obama,2009-2013,7.73,1.89
Wyoming,Real Per Capita Personal Income,Obama 1,Barack Obama,2009-2013,9.43,2.34
Wyoming,Real Per Capita PCE,Obama 1,Barack Obama,2009-2013,3.82,0.95
Wyoming,Total Employment,Obama 1,Barack Obama,2009-2013,3.36,0.83
United States,Real GDP,Obama 2,Barack Obama,2013-2017,10.11,2.44
United States,Real Personal Income,Obama 2,Barack Obama,2013-2017,13.46,3.21
United States,Real PCE,Obama 2,Barack Obama,2013-2017,11.78,2.82
United States,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,10.02,2.42
United States,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.4,2.04
United States,Total Employment,Obama 2,Barack Obama,2013-2017,7.71,1.88
Alabama,Real GDP,Obama 2,Barack Obama,2013-2017,4.66,1.15
Alabama,Real Personal Income,Obama 2,Barack Obama,2013-2017,9.48,2.3
Alabama,Real PCE,Obama 2,Barack Obama,2013-2017,9.01,2.18
Alabama,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,7.53,1.85
Alabama,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,7.08,1.73
Alabama,Total Employment,Obama 2,Barack Obama,2013-2017,5.0,1.23
Alaska,Real GDP,Obama 2,Barack Obama,2013-2017,-1.97,-0.49
Alaska,Real Personal Income,Obama 2,Barack Obama,2013-2017,1.46,0.4
Alaska,Real PCE,Obama 2,Barack Obama,2013-2017,2.81,0.7
Alaska,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,0.92,0.27
Alaska,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,2.28,0.57
Alaska,Total Employment,Obama 2,Barack Obama,2013-2017,-1.23,-0.31
Arizona,Real GDP,Obama 2,Barack Obama,2013-2017,11.46,2.76
Arizona,Real Personal Income,Obama 2,Barack Obama,2013-2017,18.42,4.32
Arizona,Real PCE,Obama 2,Barack Obama,2013-2017,15.06,3.57
Arizona,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,12.97,3.1
Arizona,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,9.76,2.36
Arizona,Total Employment,Obama 2,Barack Obama,2013-2017,10.97,2.64
Arkansas,Real GDP,Obama 2,Barack Obama,2013-2017,3.37,0.83
Arkansas,Real Personal Income,Obama 2,Barack Obama,2013-2017,11.79,2.83
Arkansas,Real PCE,Obama 2,Barack Obama,2013-2017,11.33,2.72
Arkansas,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,10.44,2.52
Arkansas,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,9.98,2.41
Arkansas,Total Employment,Obama 2,Barack Obama,2013-2017,4.5,1.11
California,Real GDP,Obama 2,Barack Obama,2013-2017,17.1,4.03
California,Real Personal Income,Obama 2,Barack Obama,2013-2017,18.15,4.27
California,Real PCE,Obama 2,Barack Obama,2013-2017,14.09,3.35
California,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,14.76,3.51
California,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,10.81,2.6
California,Total Employment,Obama 2,Barack Obama,2013-2017,10.46,2.52
Colorado,Real GDP,Obama 2,Barack Obama,2013-2017,16.16,3.82
Colorado,Real Personal Income,Obama 2,Barack Obama,2013-2017,17.56,4.15
Colorado,Real PCE,Obama 2,Barack Obama,2013-2017,19.57,4.57
Colorado,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,10.49,2.55
Colorado,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,12.39,2.96
Colorado,Total Employment,Obama 2,Barack Obama,2013-2017,12.02,2.88
Connecticut,Real GDP,Obama 2,Barack Obama,2013-2017,5.78,1.42
Connecticut,Real Personal Income,Obama 2,Barack Obama,2013-2017,7.38,1.8
Connecticut,Real PCE,Obama 2,Barack Obama,2013-2017,7.52,1.83
Connecticut,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,7.46,1.82
Connecticut,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,7.6,1.85
Connecticut,Total Employment,Obama 2,Barack Obama,2013-2017,2.39,0.59
Delaware,Real GDP,Obama 2,Barack Obama,2013-2017,1.31,0.46
Delaware,Real Personal Income,Obama 2,Barack Obama,2013-2017,13.36,3.21
Delaware,Real PCE,Obama 2,Barack Obama,2013-2017,9.34,2.26
Delaware,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,9.12,2.23
Delaware,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,5.26,1.3
Delaware,Total Employment,Obama 2,Barack Obama,2013-2017,7.34,1.79
District of Columbia,Real GDP,Obama 2,Barack Obama,2013-2017,8.22,2.0
District of Columbia,Real Personal Income,Obama 2,Barack Obama,2013-2017,23.99,5.54
District of Columbia,Real PCE,Obama 2,Barack Obama,2013-2017,14.86,3.53
District of Columbia,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,17.4,4.1
District of Columbia,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.76,2.13
District of Columbia,Total Employment,Obama 2,Barack Obama,2013-2017,6.44,1.57
Florida,Real GDP,Obama 2,Barack Obama,2013-2017,15.3,3.63
Florida,Real Personal Income,Obama 2,Barack Obama,2013-2017,21.81,5.06
Florida,Real PCE,Obama 2,Barack Obama,2013-2017,16.23,3.83
Florida,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,13.85,3.31
Florida,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,8.64,2.09
Florida,Total Employment,Obama 2,Barack Obama,2013-2017,14.79,3.51
Georgia,Real GDP,Obama 2,Barack Obama,2013-2017,16.73,3.94
Georgia,Real Personal Income,Obama 2,Barack Obama,2013-2017,19.2,4.5
Georgia,Real PCE,Obama 2,Barack Obama,2013-2017,14.3,3.4
Georgia,Real Per Capita Personal Income,Obama 2,Barack Obama,2013-2017,14.08,3.36
Georgia,Real Per Capita PCE,Obama 2,Barack Obama,2013-2017,9.39,2.27
